acc_id,survival_time
7,10
15,36
16,1
18,57
19,43
22,64
24,1
28,39
39,9
51,8
55,30
56,29
58,51
70,64
80,29
82,29
83,57
87,61
89,29
96,15
104,50
105,29
107,27
108,15
109,18
110,31
114,36
118,60
120,29
134,64
143,29
144,64
146,50
153,1
157,51
159,29
166,1
175,29
178,29
185,29
195,50
197,15
206,23
211,29
224,29
229,20
233,29
236,46
242,22
244,36
254,25
272,17
277,38
278,23
293,64
306,29
307,18
332,31
348,64
357,29
364,36
379,29
380,22
395,51
399,29
416,64
417,29
422,27
430,22
432,19
438,32
448,29
455,36
466,32
469,64
478,1
482,36
486,29
509,29
514,64
517,51
529,64
530,34
535,16
537,64
551,64
573,22
580,29
585,8
600,55
601,64
603,43
609,47
639,49
649,50
654,41
658,15
660,48
662,15
670,36
675,36
686,1
704,64
707,50
709,26
727,43
739,22
743,36
746,22
749,29
752,23
773,23
780,25
788,18
789,36
801,1
802,2
803,64
818,23
821,18
822,8
824,58
837,1
844,25
846,58
854,27
859,64
869,64
871,27
874,18
891,42
901,57
915,64
916,48
917,15
922,43
925,36
928,20
940,51
943,43
952,29
954,29
960,22
963,36
970,8
975,27
991,23
993,43
994,55
999,29
1003,64
1004,64
1014,29
1016,15
1018,29
1020,57
1032,25
1039,29
1044,50
1047,20
1048,1
1051,8
1053,35
1068,15
1072,64
1080,29
1083,28
1119,29
1124,7
1128,15
1140,22
1147,29
1148,29
1151,8
1152,36
1158,31
1160,1
1165,29
1167,29
1171,36
1172,36
1178,1
1181,1
1182,1
1188,36
1191,1
1194,36
1195,30
1198,50
1204,15
1207,36
1216,1
1217,63
1226,15
1227,11
1228,3
1234,28
1237,29
1238,24
1243,9
1246,28
1251,18
1253,64
1258,64
1261,64
1262,29
1266,29
1268,15
1271,9
1278,1
1280,62
1283,1
1294,15
1308,50
1319,29
1320,18
1321,9
1351,46
1364,23
1366,64
1373,29
1380,64
1381,29
1383,39
1386,8
1391,64
1393,23
1394,43
1404,1
1407,64
1408,64
1418,1
1425,28
1427,64
1443,24
1454,21
1461,64
1465,58
1469,1
1477,15
1486,22
1508,50
1517,50
1519,64
1533,29
1536,64
1544,61
1545,64
1567,23
1577,64
1578,50
1582,15
1583,27
1584,27
1588,43
1590,1
1620,15
1628,64
1630,18
1631,1
1640,60
1643,23
1646,39
1647,29
1648,22
1653,64
1655,22
1656,27
1660,59
1679,15
1683,17
1686,64
1695,24
1701,64
1708,64
1717,25
1718,23
1720,29
1723,64
1725,8
1739,36
1740,29
1742,64
1749,8
1750,29
1752,22
1762,64
1772,51
1773,8
1777,48
1788,1
1789,64
1791,30
1792,29
1793,23
1796,29
1799,59
1805,64
1809,39
1810,1
1812,64
1815,23
1824,64
1832,27
1835,1
1846,64
1847,63
1861,26
1885,36
1890,29
1891,23
1895,64
1898,8
1911,35
1915,22
1925,36
1931,31
1932,1
1946,29
1948,58
1959,36
1960,24
1963,37
1964,36
1971,15
1980,64
1983,64
1987,22
1992,39
2003,32
2006,36
2009,23
2012,37
2019,29
2031,39
2067,27
2078,64
2087,15
2089,22
2093,29
2095,50
2106,1
2113,50
2131,1
2134,29
2136,29
2141,29
2146,50
2148,29
2149,31
2153,23
2165,29
2167,45
2170,22
2171,8
2179,29
2197,31
2199,36
2201,29
2205,50
2209,38
2214,47
2218,17
2223,39
2224,64
2226,43
2239,29
2246,17
2251,26
2256,20
2261,32
2265,1
2267,64
2286,18
2303,20
2306,27
2309,9
2316,32
2322,20
2331,32
2339,4
2342,64
2343,64
2347,1
2352,64
2358,29
2361,23
2364,22
2371,29
2386,29
2387,29
2390,15
2392,29
2394,19
2396,64
2401,23
2420,41
2421,64
2432,64
2440,3
2444,29
2464,1
2469,29
2471,22
2472,64
2489,17
2490,23
2491,25
2496,15
2501,22
2512,36
2535,36
2536,50
2546,20
2547,29
2579,18
2583,36
2588,64
2590,22
2591,29
2600,64
2602,64
2609,15
2613,30
2618,9
2619,29
2629,64
2633,28
2650,64
2653,28
2655,41
2660,64
2661,29
2663,29
2667,15
2677,36
2689,26
2693,36
2695,35
2699,8
2702,29
2714,16
2721,29
2741,36
2742,16
2756,18
2758,51
2762,22
2767,58
2768,29
2770,50
2773,39
2774,35
2777,29
2783,1
2809,26
2811,8
2815,36
2819,1
2824,29
2833,22
2846,29
2866,1
2872,64
2885,29
2886,56
2896,29
2903,64
2905,64
2910,39
2913,8
2917,29
2918,25
2921,29
2930,29
2935,36
2936,38
2943,51
2947,50
2953,1
2956,34
2962,37
2963,36
2965,31
2975,30
2977,22
2980,29
2981,36
2987,64
2990,36
2994,29
3002,43
3004,2
3009,26
3015,8
3028,8
3038,36
3040,29
3062,1
3064,35
3067,47
3069,64
3072,37
3075,64
3083,20
3088,29
3093,1
3101,29
3106,23
3115,64
3118,20
3120,36
3149,8
3153,31
3166,64
3167,29
3172,16
3174,29
3175,11
3179,64
3180,30
3186,1
3188,59
3192,36
3195,36
3197,1
3202,29
3209,1
3219,15
3225,29
3243,36
3256,22
3260,43
3273,31
3284,22
3287,29
3301,29
3303,29
3332,1
3335,15
3343,29
3348,64
3349,43
3356,29
3358,64
3360,18
3361,31
3381,18
3386,29
3390,45
3393,36
3397,1
3398,1
3402,64
3408,36
3409,3
3426,12
3430,32
3437,30
3450,22
3465,50
3479,64
3480,43
3492,16
3493,58
3497,29
3498,31
3509,27
3512,16
3514,22
3518,29
3525,50
3527,43
3529,29
3531,1
3533,15
3543,36
3546,29
3547,53
3550,41
3551,1
3554,29
3556,19
3559,4
3569,64
3587,29
3593,64
3596,31
3600,22
3603,15
3612,60
3619,36
3620,25
3622,1
3626,23
3636,40
3641,29
3648,29
3650,9
3653,29
3660,9
3662,1
3663,64
3669,64
3673,11
3674,1
3678,18
3686,64
3687,39
3694,9
3703,34
3704,15
3706,29
3713,36
3714,43
3715,29
3726,9
3727,8
3735,36
3743,17
3746,29
3759,44
3764,23
3782,29
3786,36
3790,23
3793,29
3802,1
3805,36
3820,19
3831,29
3833,1
3847,23
3850,43
3854,56
3860,33
3864,29
3867,30
3871,60
3873,31
3886,22
3887,36
3890,42
3896,43
3899,3
3900,1
3902,1
3906,29
3909,24
3914,15
3916,32
3927,8
3966,27
3969,57
3975,1
3977,9
3982,22
3987,15
3988,29
3999,29
4002,36
4003,64
4009,46
4014,25
4027,36
4031,29
4054,17
4055,27
4056,29
4058,64
4059,61
4069,50
4070,22
4071,57
4076,36
4086,64
4087,29
4091,21
4096,43
4098,43
4101,50
4103,9
4104,57
4111,22
4128,29
4140,29
4159,29
4161,27
4163,29
4165,18
4170,1
4172,8
4178,60
4179,64
4184,64
4188,22
4189,64
4193,23
4194,53
4199,62
4203,56
4209,29
4214,64
4221,1
4224,30
4227,29
4231,43
4240,29
4249,50
4256,64
4270,27
4271,36
4285,37
4291,64
4305,29
4316,29
4317,1
4331,43
4333,29
4336,29
4338,27
4344,64
4348,28
