acc_id,survival_time
7,1
15,32
16,1
18,64
19,43
22,40
24,22
28,5
39,23
51,8
55,29
56,23
58,29
70,43
80,29
82,29
83,29
87,29
89,29
96,22
104,29
105,29
107,60
108,29
109,50
110,29
114,36
118,16
120,15
134,64
143,29
144,64
146,57
153,1
157,40
159,36
166,1
175,8
178,29
185,50
195,29
197,15
206,22
211,29
224,29
229,15
233,15
236,32
242,35
244,29
254,31
272,36
277,64
278,29
293,29
306,29
307,25
332,1
348,51
357,29
364,29
379,43
380,8
395,50
399,50
416,44
417,36
422,29
430,64
432,21
438,64
448,1
455,29
466,25
469,29
478,1
482,29
486,29
509,29
514,49
517,64
529,64
530,51
535,30
537,29
551,23
573,29
580,29
585,43
600,22
601,64
603,29
609,42
639,29
649,29
654,29
658,15
660,41
662,64
670,36
675,50
686,1
704,64
707,50
709,36
727,29
739,15
743,29
746,33
749,29
752,22
773,23
780,25
788,58
789,29
801,1
802,8
803,64
818,29
821,9
822,29
824,29
837,1
844,10
846,31
854,29
859,64
869,40
871,35
874,25
891,36
901,29
915,29
916,44
917,36
922,29
925,36
928,20
940,50
943,36
952,29
954,29
960,29
963,36
970,1
975,29
991,22
993,64
994,29
999,29
1003,50
1004,64
1014,29
1016,8
1018,29
1020,29
1032,18
1039,29
1044,29
1047,29
1048,22
1051,1
1053,29
1068,64
1072,64
1080,29
1083,22
1119,64
1124,32
1128,31
1140,27
1147,43
1148,8
1151,29
1152,29
1158,44
1160,34
1165,29
1167,36
1171,29
1172,29
1178,1
1181,1
1182,1
1188,29
1191,3
1194,29
1195,36
1198,36
1204,1
1207,43
1216,1
1217,31
1226,29
1227,29
1228,36
1234,56
1237,29
1238,29
1243,1
1246,22
1251,29
1253,29
1258,50
1261,23
1262,29
1266,29
1268,29
1271,25
1278,1
1280,22
1283,1
1294,36
1308,25
1319,8
1320,18
1321,36
1351,34
1364,36
1366,12
1373,29
1380,23
1381,29
1383,5
1386,30
1391,15
1393,54
1394,36
1404,2
1407,64
1408,29
1418,1
1425,31
1427,29
1443,29
1454,43
1461,64
1465,29
1469,36
1477,31
1486,23
1508,29
1517,29
1519,64
1533,26
1536,5
1544,29
1545,40
1567,29
1577,5
1578,29
1582,29
1583,29
1584,25
1588,43
1590,2
1620,29
1628,64
1630,64
1631,1
1640,29
1643,29
1646,64
1647,29
1648,22
1653,64
1655,22
1656,29
1660,61
1679,29
1683,22
1686,22
1695,50
1701,29
1708,42
1717,25
1718,23
1720,8
1723,36
1725,8
1739,29
1740,29
1742,52
1749,22
1750,22
1752,22
1762,29
1772,29
1773,64
1777,49
1788,2
1789,22
1791,29
1792,29
1793,15
1796,29
1799,36
1805,16
1809,25
1810,15
1812,29
1815,40
1824,23
1832,22
1835,1
1846,29
1847,29
1861,1
1885,36
1890,23
1891,64
1895,29
1898,9
1911,13
1915,44
1925,50
1931,30
1932,1
1946,29
1948,29
1959,57
1960,43
1963,29
1964,29
1971,41
1980,23
1983,64
1987,25
1992,43
2003,50
2006,36
2009,64
2012,29
2019,29
2031,29
2067,15
2078,29
2087,29
2089,36
2093,29
2095,29
2106,1
2113,50
2131,1
2134,29
2136,29
2141,64
2146,64
2148,29
2149,22
2153,22
2165,29
2167,34
2170,15
2171,15
2179,16
2197,5
2199,29
2201,29
2205,25
2209,38
2214,44
2218,23
2223,64
2224,64
2226,29
2239,29
2246,22
2251,29
2256,15
2261,46
2265,1
2267,64
2286,22
2303,15
2306,8
2309,24
2316,61
2322,15
2331,36
2339,28
2342,12
2343,5
2347,1
2352,64
2358,29
2361,43
2364,23
2371,61
2386,43
2387,29
2390,10
2392,25
2394,64
2396,64
2401,45
2420,29
2421,64
2432,5
2440,8
2444,29
2464,1
2469,29
2471,30
2472,22
2489,22
2490,29
2491,25
2496,29
2501,29
2512,29
2535,29
2536,50
2546,18
2547,64
2579,30
2583,29
2588,37
2590,36
2591,29
2600,64
2602,64
2609,18
2613,61
2618,29
2619,64
2629,64
2633,29
2650,29
2653,3
2655,27
2660,29
2661,29
2663,29
2667,22
2677,29
2689,29
2693,29
2695,29
2699,29
2702,29
2714,47
2721,29
2741,29
2742,25
2756,58
2758,29
2762,36
2767,29
2768,29
2770,29
2773,22
2774,64
2777,50
2783,1
2809,2
2811,8
2815,27
2819,1
2824,22
2833,29
2846,29
2866,1
2872,64
2885,25
2886,15
2896,29
2903,64
2905,36
2910,15
2913,8
2917,29
2918,25
2921,29
2930,29
2935,29
2936,31
2943,29
2947,36
2953,1
2956,29
2962,22
2963,29
2965,64
2975,16
2977,1
2980,29
2981,50
2987,64
2990,29
2994,22
3002,36
3004,8
3009,29
3015,22
3028,29
3038,64
3040,50
3062,1
3064,37
3067,23
3069,29
3072,54
3075,54
3083,29
3088,29
3093,29
3101,8
3106,29
3115,50
3118,22
3120,29
3149,29
3153,26
3166,5
3167,64
3172,64
3174,36
3175,25
3179,46
3180,29
3186,1
3188,43
3192,29
3195,29
3197,13
3202,29
3209,3
3219,22
3225,29
3243,29
3256,29
3260,29
3273,40
3284,8
3287,50
3301,29
3303,29
3332,1
3335,22
3343,45
3348,64
3349,64
3356,50
3358,61
3360,29
3361,24
3381,18
3386,29
3390,47
3393,50
3397,1
3398,8
3402,5
3408,11
3409,1
3426,23
3430,22
3437,40
3450,1
3465,50
3479,64
3480,36
3492,50
3493,18
3497,8
3498,29
