acc_id,survival_time
1,29
3,28
14,31
26,36
27,15
32,22
44,30
45,57
49,1
64,29
68,37
71,15
74,38
84,16
90,41
102,25
115,29
117,22
130,43
131,43
132,1
135,36
141,8
151,8
164,16
165,29
177,20
179,29
182,15
184,36
187,29
190,15
214,22
221,7
225,26
227,42
239,29
249,36
258,50
275,50
282,1
300,36
301,50
303,43
313,29
317,22
321,15
323,23
333,37
336,43
377,28
381,29
386,29
387,15
388,31
392,33
397,64
402,33
410,24
412,1
415,36
428,38
435,29
441,29
445,30
461,29
464,38
489,29
493,1
498,17
503,64
505,29
511,29
515,21
547,1
554,22
558,43
564,48
565,29
566,43
567,29
572,43
575,43
584,1
594,29
595,23
596,17
605,8
607,15
608,50
613,1
618,29
620,15
627,1
628,29
631,8
634,31
673,32
679,37
688,11
690,30
702,36
706,50
713,29
718,29
728,37
732,44
741,35
750,36
754,29
759,1
764,36
774,64
806,36
816,38
828,15
834,15
838,1
842,50
847,64
852,29
855,25
864,24
865,45
867,43
872,30
876,34
877,40
884,28
885,64
888,29
903,24
905,39
921,22
926,26
930,36
934,50
965,36
971,8
977,37
980,36
982,36
990,15
996,29
997,4
1002,6
1010,44
1019,37
1027,57
1036,29
1045,15
1052,29
1054,31
1063,31
1069,18
1081,50
1084,29
1087,36
1088,30
1099,8
1100,36
1102,25
1103,1
1114,26
1121,50
1123,36
1130,36
1134,37
1135,22
1157,10
1162,34
1164,15
1166,31
1179,15
1186,29
1203,50
1205,43
1211,21
1213,1
1220,36
1224,29
1225,1
1233,50
1236,43
1247,27
1250,29
1257,29
1259,46
1297,1
1312,22
1323,29
1327,29
1336,22
1345,29
1354,43
1365,29
1369,26
1372,24
1376,64
1382,46
1395,22
1396,30
1399,33
1403,36
1410,29
1428,1
1433,1
1445,28
1453,31
1466,15
1493,29
1505,11
1509,48
1527,22
1529,36
1540,20
1546,36
1559,29
1560,22
1561,37
1564,1
1570,29
1574,29
1575,22
1581,31
1602,64
1611,29
1614,29
1617,29
1636,63
1645,15
1657,43
1682,1
1692,29
1697,16
1698,36
1702,29
1704,29
1716,36
1726,36
1729,29
1745,41
1778,28
1803,42
1819,36
1821,36
1826,29
1848,29
1865,26
1867,29
1878,36
1883,1
1894,22
1904,50
1909,9
1917,29
1918,43
1922,1
1923,15
1928,64
1947,3
1995,9
1997,22
2004,36
2011,1
2029,36
2033,16
2038,8
2047,34
2050,29
2056,29
2063,1
2072,8
2086,29
2096,1
2105,24
2116,24
2121,36
2127,29
2135,29
2138,36
2152,29
2154,1
2159,22
2168,35
2176,29
2177,63
2185,37
2191,24
2204,36
2212,29
2220,50
2230,36
2233,12
2235,36
2241,29
2268,29
2277,29
2283,36
2289,24
2291,29
2302,35
2310,36
2320,34
2324,1
2351,15
2355,2
2363,8
2374,34
2383,29
2397,29
2407,29
2419,50
2424,43
2431,2
2446,43
2450,22
2456,29
2459,36
2494,29
2495,29
2499,8
2511,36
2517,36
2541,8
2553,15
2555,29
2569,29
2573,50
2574,28
2580,29
2598,43
2610,17
2620,29
2622,31
2631,29
2636,64
2643,12
2646,37
2680,34
2684,1
2700,22
2711,29
2725,50
2731,64
2755,43
2757,29
2778,50
2792,29
2794,64
2797,51
2799,64
2807,36
2813,43
2814,58
2820,38
2821,36
2839,29
2845,29
2858,7
2860,1
2861,29
2864,29
2879,8
2882,29
2883,41
2899,29
2945,35
2954,41
2985,50
2998,23
3006,29
3012,3
3016,58
3017,44
3024,8
3031,52
3033,50
3047,50
3051,22
3066,37
3078,22
3091,36
3095,29
3104,63
3109,36
3110,8
3112,22
3123,36
3133,15
3138,15
3152,43
3155,16
3156,64
3157,15
3160,22
3164,64
3199,15
3212,1
3224,22
3249,36
3257,39
3264,29
3268,42
3274,1
3289,50
3295,30
3299,42
3302,29
3305,16
3308,29
3311,43
3312,36
3313,10
3331,1
3337,27
3339,1
3341,51
3354,36
3355,40
3370,1
3373,11
3384,50
3414,1
3415,36
3431,29
3438,26
3439,36
3447,29
3453,1
3459,31
3460,29
3463,50
3468,25
3470,24
3472,29
3473,30
3486,36
3506,29
3521,50
3522,60
3534,45
3538,39
3552,30
3561,29
3571,29
3572,10
3584,36
3586,36
3592,41
3598,29
3599,43
3609,50
3621,9
3638,25
3647,52
3666,29
3675,57
3676,22
3681,57
3698,22
3701,41
3710,36
3719,17
3720,64
3736,15
3747,36
3762,29
3778,36
3783,36
3784,1
3794,29
3797,31
3798,22
3799,29
3801,15
3819,15
3824,64
3841,36
3842,37
3878,29
3884,43
3908,50
3932,29
3933,29
3935,36
3942,43
3950,29
3957,25
3965,29
3976,36
4016,50
4018,1
4020,23
4036,51
4041,5
4046,36
4050,29
4065,29
4074,29
4100,29
4102,29
4105,22
4122,1
4131,50
4134,22
4139,29
4148,18
4152,1
4154,23
4166,19
4167,50
4186,43
4204,29
4215,20
4217,29
4233,50
4258,15
4260,29
4275,29
4284,8
4286,29
4299,36
4300,19
4302,29
4319,43
4321,8
4323,29
4327,28
4328,22
4330,36
4343,29
4359,36
4366,29
4376,36
4377,31
4386,64
4388,24
4390,64
4392,22
4405,21
4408,22
4409,50
4417,29
4418,29
4424,27
4426,1
4428,16
4435,22
4443,15
4444,29
4445,1
4477,23
4478,57
4485,29
4486,1
4490,1
4492,29
4498,33
4504,57
4506,22
4509,48
4511,22
4523,1
4532,22
4538,30
4555,29
4562,18
4569,8
4572,29
4579,36
4584,35
4590,29
4596,23
4619,29
4624,8
4626,36
4639,22
4652,29
4668,50
4669,29
4678,43
4680,29
4681,43
4686,29
4692,30
4701,29
4703,36
4719,25
4732,22
4735,50
4748,29
4755,8
4757,29
4761,46
4764,1
4776,29
4781,2
4789,29
4791,15
4799,36
4802,1
4803,25
4809,37
4813,21
4856,29
4872,50
4874,29
4875,34
4878,11
4887,6
4898,26
4903,26
4905,29
4911,29
4919,31
4921,36
4941,29
4966,23
4973,8
4974,22
4985,36
4990,29
4992,29
4993,1
4997,32
5006,36
5012,50
5020,29
5024,1
5031,25
5044,44
5045,50
5049,17
5050,29
5055,23
5062,29
5066,35
5067,36
5071,29
5072,1
5091,38
5112,26
5113,26
5126,9
5137,43
5146,23
5147,22
5155,29
5166,41
5171,29
5174,50
5180,3
5183,29
5194,39
5195,41
5208,29
5210,26
5211,43
5216,1
5217,58
5218,29
5232,29
5237,31
5238,36
5247,43
5253,36
5267,53
5269,24
5270,62
5277,29
5291,29
5295,36
5303,36
5307,36
5316,29
5320,1
5325,37
5336,28
5342,42
5344,15
5345,29
5370,29
5371,1
5372,22
5376,36
5380,43
5385,15
5386,27
5418,64
5426,46
5466,29
5471,32
5476,43
5481,11
5484,23
5489,51
5492,29
5493,37
5502,29
5505,24
5506,10
5530,29
5561,29
5568,29
5569,24
5594,36
5608,36
5630,43
5659,15
5661,29
5662,16
5668,1
5684,18
5694,29
5696,36
5700,22
5706,27
5709,34
5743,29
5744,29
5748,31
5751,36
5757,15
5760,1
5766,1
5774,29
5776,29
5783,25
5819,15
5826,8
5828,46
5848,15
5856,1
5868,43
5895,29
5897,32
5905,29
5927,30
5930,36
5943,31
5971,29
5974,50
5994,29
5995,36
5999,25
6000,29
6006,1
6008,1
6012,22
6017,64
6023,37
6030,22
6033,17
6044,36
6067,36
6078,1
6103,28
6106,29
6112,24
6117,36
6119,40
6130,24
6135,16
6140,29
6160,29
6164,29
6167,36
6190,34
6199,15
6203,29
6204,22
6215,18
6222,50
6225,45
6227,23
6233,52
6276,1
6283,1
6284,1
6306,36
6309,29
6322,20
6325,1
6340,36
6358,29
6361,17
6362,36
6363,43
6367,29
6374,36
6381,8
6390,36
6393,15
6418,1
6421,41
6430,53
6435,29
6437,15
6447,22
6463,50
6482,36
6504,50
6513,29
6535,29
6548,1
6549,60
6559,29
6587,50
6615,36
6622,29
6655,37
6661,22
6667,29
6668,35
6674,29
6682,29
6685,22
6689,22
6699,40
6702,29
6708,43
6719,1
6738,36
6753,50
6754,26
6755,64
6759,36
6764,36
6775,36
6784,43
6785,55
6789,29
6793,60
6795,1
6801,63
6803,18
6806,8
6807,29
6808,29
6819,5
6831,36
6850,53
6851,35
6855,64
6873,29
6879,22
6894,1
6897,29
6898,36
6904,52
6919,29
6926,29
6929,24
6930,36
6939,17
6941,28
6949,43
6954,8
6973,1
6980,29
6981,1
6987,16
6993,18
6994,29
7000,50
7018,22
7025,43
7029,31
7030,29
7032,8
7036,4
7046,29
7047,35
7063,1
7070,43
7080,36
7096,29
7097,59
7115,1
7118,36
7123,22
7133,40
7135,36
7138,36
7179,38
7185,22
7192,29
7194,29
7205,29
7213,36
7246,50
7252,15
7270,29
7293,40
7295,43
7310,36
7317,23
7344,26
7356,54
7365,36
7366,50
7367,1
7371,44
7404,36
7407,40
7412,29
7420,36
7422,43
7429,36
7433,55
7434,36
7466,23
7467,26
7470,22
7473,1
7483,29
7488,1
7497,1
7499,29
7500,36
7503,29
7512,1
7518,23
7527,37
7530,15
7535,38
7552,25
7562,35
7575,29
7579,37
7625,29
7632,29
7638,29
7642,29
7661,36
7690,26
7692,29
7714,29
7715,15
7729,16
7732,22
7736,29
7741,22
7747,36
7756,4
7757,8
7763,64
7770,36
7773,22
7777,13
7795,1
7804,1
7806,38
7811,36
7813,43
7815,36
7816,25
7820,23
7832,50
7838,36
7842,29
7843,29
7856,50
7858,29
7866,30
7868,2
7875,29
7884,43
7887,29
7889,56
7892,12
7893,36
7899,54
7915,50
7916,29
7920,22
7925,17
7944,29
7952,25
7956,29
7969,1
7973,64
7975,29
7980,22
7988,48
7991,26
7999,29
8003,52
8013,50
8035,29
8045,25
8048,64
8051,43
8054,36
8055,22
8059,1
8080,64
8092,1
8111,36
8122,29
8127,3
8134,36
8139,36
8142,29
8148,6
8153,29
8156,58
8158,34
8162,29
8165,22
8173,36
8181,15
8182,50
8196,43
8203,1
8214,29
8219,9
8220,31
8227,15
8228,29
8230,29
8232,29
8244,29
8245,36
8249,36
8257,31
8258,22
8266,57
8268,29
8276,8
8277,44
8304,36
8314,37
8327,57
8329,29
8352,1
8354,20
8364,35
8389,29
8390,55
8406,23
8410,64
8424,22
8428,36
8430,43
8443,43
8452,39
8458,15
8466,29
8490,29
8509,51
8517,29
8526,30
8527,30
8537,45
8538,29
8546,29
8566,51
8581,23
8591,50
8613,36
8620,23
8623,22
8631,8
8641,29
8662,30
8663,29
8667,1
8672,16
8676,42
8683,29
8694,29
8695,62
8710,36
8717,17
8721,22
8734,29
8744,43
8750,57
8763,29
8769,1
8778,28
8780,36
8786,15
8799,22
8800,50
8812,29
8833,1
8840,3
8852,50
8871,59
8886,29
8897,43
8898,8
8901,31
8926,29
8931,27
8937,29
8939,36
8944,29
8945,64
8966,30
8988,29
8999,29
9013,29
9015,40
9019,64
9031,8
9036,23
9043,27
9052,29
9053,29
9055,8
9077,8
9100,25
9107,29
9108,36
9115,50
9124,24
9125,36
9126,43
9135,36
9136,29
9184,36
9187,36
9188,15
9204,64
9206,18
9230,29
9259,29
9268,30
9282,36
9284,29
9287,51
9292,43
9305,22
9330,29
9336,54
9344,29
9352,29
9355,36
9360,31
9371,36
9382,23
9392,31
9393,23
9395,29
9405,1
9416,23
9426,50
9435,37
9440,54
9448,18
9454,64
9462,36
9480,46
9483,29
9488,22
9493,20
9496,29
9497,1
9522,8
9530,1
9536,28
9541,1
9542,1
9552,29
9558,36
9561,24
9583,36
9593,52
9603,1
9621,29
9625,36
9627,29
9648,36
9655,29
9658,36
9667,1
9675,36
9692,36
9696,29
9700,2
9704,29
9713,27
9718,36
9726,43
9738,30
9740,47
9753,27
9758,37
9767,29
9773,29
9778,57
9792,11
9793,24
9797,33
9801,43
9818,8
9823,30
9846,43
9858,29
9861,22
9864,25
9867,36
9876,30
9892,15
9895,29
9898,29
9916,29
9924,15
9929,30
9931,36
9932,22
9935,50
9978,30
9985,36
9986,30
9988,17
10010,1
10024,35
10032,22
10051,33
10054,8
10055,18
10077,25
10079,35
10087,15
10121,29
10139,29
10175,29
10184,56
10186,1
10188,29
10196,29
10215,29
10216,29
10231,15
10235,36
10241,64
10245,36
10247,8
10253,29
10280,59
10291,16
10292,27
10293,43
10306,16
10323,43
10324,62
10328,1
10348,29
10364,36
10365,64
10367,31
10373,29
10390,29
10392,29
10403,36
10423,22
10460,54
10466,22
10470,36
10471,30
10474,54
10485,11
10489,10
10501,36
10510,30
10512,29
10518,23
10523,36
10538,29
10539,1
10554,36
10557,45
10558,29
10565,29
10569,6
10581,1
10582,29
10585,15
10589,9
10600,22
10615,50
10625,29
10635,29
10638,1
10649,1
10661,62
10662,36
10675,29
10676,36
10687,57
10697,43
10702,10
10712,10
10730,36
10738,1
10747,43
10752,17
10755,43
10777,48
10779,64
10801,43
10805,57
10806,50
10807,30
10810,29
10815,29
10832,18
10836,22
10840,22
10844,43
10852,22
10860,36
10868,1
10875,22
10900,32
10924,37
10951,22
10960,1
10969,37
10970,29
10987,50
10988,15
10993,53
10997,29
11013,36
11021,36
11025,22
11034,16
11038,24
11039,50
11057,24
11066,36
11073,22
11082,22
11090,27
11095,43
11105,30
11111,1
11123,31
11125,1
11127,29
11132,52
11149,30
11166,36
11180,36
11183,22
11184,58
11189,36
11201,29
11208,1
11209,28
11260,29
11262,31
11266,24
11269,64
11270,38
11272,29
11274,15
11278,36
11279,61
11287,29
11291,29
11304,41
11313,16
11314,36
11323,30
11331,51
11332,23
11359,36
11372,29
11375,11
11383,50
11384,29
11393,21
11410,36
11425,36
11432,1
11434,63
11438,36
11450,15
11457,35
11459,29
11483,36
11484,29
11497,29
11519,29
11533,1
11541,29
11548,27
11559,39
11562,29
11569,1
11574,1
11576,29
11584,29
11589,50
11590,16
11596,15
11597,29
11598,36
11600,36
11610,29
11625,29
11632,1
11639,36
11641,30
11657,1
11658,29
11667,29
11668,36
11677,36
11694,29
11700,1
11704,42
11707,1
11721,55
11729,44
11730,29
11752,15
11755,50
11759,29
11798,32
11800,15
11804,1
11822,15
11832,1
11836,16
11843,29
11853,36
11859,37
11878,37
11885,31
11897,29
11902,48
11910,22
11942,36
11953,1
11954,37
11961,29
11974,1
11981,29
11995,15
11999,18
12002,35
12014,43
12027,29
12030,41
12042,22
12069,22
12070,29
12075,4
12103,43
12117,23
12121,50
12129,64
12135,41
12175,36
12193,29
12198,29
12201,22
12202,43
12206,1
12215,36
12218,57
12219,22
12222,1
12240,3
12241,13
12245,17
12273,29
12276,50
12279,30
12291,13
12297,36
12299,53
12303,22
12306,2
12307,29
12311,29
12312,29
12362,22
12376,35
12397,17
12403,22
12439,29
12449,15
12454,64
12462,29
12467,29
12470,1
12483,51
12484,36
12500,36
12505,29
12506,36
12520,29
12533,42
12537,43
12542,22
12552,29
12573,41
12610,29
12616,36
12620,29
12633,36
12641,29
12645,23
12656,36
12674,25
12676,43
12690,38
12700,8
12705,24
12717,1
12727,29
12735,1
12738,36
12744,22
12760,28
12761,22
12770,50
12792,52
12800,16
12809,1
12810,22
12820,36
12826,29
12831,22
12834,29
12835,29
12836,28
12840,36
12851,24
12861,64
12868,22
12872,43
12874,17
12877,8
12881,1
12886,36
12889,48
12893,15
12904,15
12907,29
12918,29
12920,36
12925,50
12926,36
12931,1
12963,16
12976,26
12981,36
12984,1
13001,22
13011,51
13019,36
13028,35
13030,26
13049,36
13050,34
13060,64
13066,29
13077,22
13082,22
13090,15
13094,29
13100,46
13121,36
13129,15
13138,29
13165,55
13166,60
13175,24
13179,50
13183,43
13184,1
13200,30
13201,29
13210,29
13224,36
13226,1
13232,35
13234,29
13244,38
13265,51
13271,57
13276,29
13282,29
13291,43
13307,29
13338,29
13372,1
13378,22
13385,29
13397,28
13402,29
13405,29
13411,3
13417,15
13433,36
13436,28
13437,50
13438,29
13450,64
13482,29
13485,50
13494,8
13499,15
13501,36
13502,40
13507,29
13539,29
13563,1
13567,16
13571,17
13574,29
13584,29
13605,1
13608,50
13612,29
13628,29
13643,29
13647,29
13649,35
13650,24
13653,64
13661,1
13673,36
13674,29
13681,29
13687,36
13689,3
13692,29
13696,29
13707,31
13708,29
13710,64
13711,36
13717,31
13737,29
13742,36
13751,29
13752,50
13757,22
13758,16
13762,29
13764,29
13789,44
13798,22
13799,22
13806,59
13813,50
13828,29
13834,5
13840,29
13848,15
13852,37
13857,64
13863,43
13867,15
13878,1
13879,35
13883,29
13897,47
13903,22
13916,15
13923,15
13924,36
13930,26
13932,29
13939,36
13941,43
13967,23
13972,29
13976,29
13978,29
13981,15
13984,14
13987,1
13994,50
14005,28
14009,29
14015,36
14022,54
14028,12
14041,8
14050,29
14073,6
14074,29
14083,15
14101,22
14104,44
14113,1
14122,36
14123,29
14128,29
14130,18
14155,31
14163,23
14169,36
14180,22
14183,22
14205,29
14206,16
14211,50
14220,29
14230,36
14231,1
14254,21
14262,22
14277,29
14291,36
14298,1
14305,27
14307,29
14308,25
14314,15
14317,57
14328,36
14335,29
14342,1
14346,36
14365,36
14371,29
14379,36
14388,15
14395,44
14405,43
14406,50
14410,50
14415,39
14419,28
14432,47
14434,29
14448,36
14460,16
14465,64
14468,16
14471,18
14474,29
14476,1
14479,21
14497,29
14504,36
14506,15
14507,36
14516,43
14527,1
14533,30
14539,20
14550,22
14558,29
14564,1
14576,50
14580,42
14586,22
14588,15
14604,43
14621,22
14625,25
14631,34
14642,27
14648,29
14659,45
14678,36
14680,51
14694,1
14697,19
14713,50
14714,29
14744,26
14750,36
14759,43
14766,27
14772,1
14775,22
14791,36
14804,37
14819,58
14822,50
14829,31
14838,29
14852,1
14857,40
14863,23
14883,30
14900,36
14911,36
14946,15
14947,29
14949,1
14951,36
14953,29
14970,50
14978,14
14996,29
15006,29
15014,29
15029,36
15033,22
15038,49
15046,29
15069,36
15071,29
15083,1
15107,1
15108,15
15122,8
15127,36
15130,37
15133,15
15144,52
15148,29
15156,10
15162,36
15168,17
15170,29
15171,1
15175,1
15176,30
15186,8
15208,15
15216,5
15225,1
15243,34
15256,1
15266,36
15268,43
15274,29
15283,29
15285,38
15289,22
15293,1
15295,55
15307,43
15316,36
15325,33
15332,43
15334,15
15337,51
15340,29
15343,29
15353,29
15354,64
15358,24
15359,22
15372,27
15376,52
15379,36
15386,5
15398,29
15399,15
15405,29
15409,29
15425,24
15431,1
15437,42
15439,29
15443,64
15450,36
15452,23
15457,17
15463,1
15464,36
15470,36
15483,36
15485,29
15496,29
15499,15
15506,37
15532,1
15535,42
15538,26
15539,29
15557,29
15558,29
15562,35
15574,22
15619,8
15624,36
15638,29
15641,1
15651,36
15654,1
15671,29
15675,1
15682,39
15685,22
15689,57
15695,29
15698,29
15705,64
15713,8
15714,8
15721,29
15728,43
15740,27
15759,57
15771,36
15772,50
15777,9
15786,29
15795,8
15804,1
15833,1
15834,1
15852,36
15854,36
15855,43
15861,29
15877,29
15894,43
15901,29
15903,29
15919,29
15921,29
15937,50
15948,29
15967,25
15981,29
15985,29
16002,39
16009,36
16016,8
16029,29
16048,51
16083,40
16099,64
16101,29
16112,36
16114,43
16121,50
16123,2
16128,29
16143,29
16145,29
16158,15
16160,1
16171,22
16177,29
16194,29
16195,29
16210,29
16225,1
16226,29
16227,43
16234,15
16238,50
16241,24
16246,51
16273,29
16334,25
16337,22
16341,34
16344,29
16351,56
16353,29
16369,22
16398,29
16405,36
16413,55
16414,29
16431,15
16434,29
16440,16
16446,9
16447,29
16448,29
16464,28
16468,1
16472,1
16485,36
16493,1
16502,36
16504,29
16506,29
16510,29
16514,15
16528,22
16533,48
16566,54
16572,22
16578,43
16579,35
16581,8
16586,12
16597,8
16602,25
16606,29
16610,36
16611,29
16631,4
16644,43
16645,29
16649,29
16650,45
16665,15
16679,22
16687,32
16693,8
16695,15
16713,15
16731,29
16732,36
16737,22
16739,8
16751,29
16763,36
16781,29
16788,9
16793,39
16800,31
16805,34
16827,22
16834,29
16840,29
16847,16
16859,15
16862,36
16868,34
16884,29
16890,22
16891,36
16892,29
16898,30
16899,29
16911,50
16913,36
16917,34
16930,1
16931,29
16934,50
16945,50
16962,36
16974,32
16977,20
16988,29
16992,29
16995,25
17007,31
17009,15
17019,29
17021,38
17025,29
17030,29
17032,8
17049,29
17053,29
17061,22
17073,49
17078,36
17095,20
17102,58
17103,51
17146,50
17148,29
17154,36
17158,29
17196,29
17246,15
17249,11
17256,36
17258,36
17262,40
17274,13
17279,50
17286,29
17302,26
17310,1
17323,29
17326,43
17343,36
17344,20
17359,29
17378,29
17398,43
17402,29
17413,50
17421,29
17427,43
17437,8
17441,31
17443,29
17455,36
17458,8
17474,15
17479,43
17480,50
17483,64
17484,23
17494,37
17497,23
17504,36
17540,19
17576,17
17588,1
17603,34
17611,57
17612,29
17616,29
17617,49
17623,29
17627,24
17631,36
17632,29
17635,29
17639,57
17642,64
17666,29
17690,29
17693,25
17707,29
17712,10
17724,50
17725,1
17736,29
17751,38
17773,29
17776,50
17778,29
17779,42
17795,29
17810,4
17820,22
17829,29
17830,33
17832,36
17836,29
17856,29
17861,22
17862,32
17864,8
17867,29
17874,29
17881,8
17891,62
17893,36
17905,29
17926,35
17949,50
17960,36
17968,1
17973,64
17978,36
17979,29
17981,19
17990,1
17997,51
18012,22
18014,29
18021,24
18034,34
18036,29
18046,16
18050,43
18072,36
18090,50
18097,43
18111,29
18135,43
18139,43
18143,36
18147,50
18148,36
18152,29
18169,28
18183,39
18186,36
18213,36
18224,29
18225,3
18246,29
18280,29
18316,39
18317,43
18318,36
18330,36
18332,21
18345,29
18368,36
18403,18
18405,2
18408,41
18417,39
18420,31
18425,36
18436,30
18439,54
18442,36
18451,29
18457,36
18473,36
18480,29
18490,29
18498,43
18506,29
18520,1
18529,10
18543,36
18547,21
18552,15
18554,29
18574,42
18575,29
18580,15
18595,1
18599,36
18609,36
18618,29
18636,29
18638,29
18683,41
18698,43
18700,29
18703,25
18706,30
18708,43
18709,29
18721,33
18722,43
18726,29
18764,29
18778,1
18792,29
18794,24
18797,1
18799,36
18822,1
18827,29
18832,43
18833,43
18852,15
18863,47
18880,43
18884,36
18886,8
18888,29
18901,22
18914,36
18923,29
18924,29
18925,29
18927,17
18931,8
18933,25
18941,17
18943,1
18944,36
18949,36
18951,36
18952,29
18961,1
18965,64
18990,54
18994,43
18995,1
19001,42
19010,52
19011,57
19022,29
19029,64
19043,36
19046,25
19048,30
19051,16
19055,51
19056,22
19057,15
19063,42
19073,36
19086,50
19091,50
19094,1
19095,29
19100,42
19103,23
19158,28
19167,31
19168,43
19170,4
19177,36
19179,43
19192,43
19196,41
19210,29
19213,41
19215,29
19221,64
19222,10
19225,15
19227,29
19238,1
19250,1
19258,29
19272,22
19287,50
19296,11
19313,25
19320,30
19322,15
19325,29
19331,43
19382,15
19386,1
19392,22
19393,29
19402,29
19415,7
19418,24
19426,36
19428,29
19454,36
19459,50
19468,24
19471,43
19473,50
19492,35
19516,30
19519,29
19525,29
19530,25
19550,23
19559,29
19585,29
19600,1
19606,50
19613,32
19619,38
19620,31
19622,36
19633,63
19684,44
19685,1
19690,1
19692,4
19708,29
19710,29
19717,43
19718,36
19749,22
19757,15
19758,36
19766,43
19784,36
19801,29
19804,29
19814,29
19828,29
19875,36
19888,17
19891,28
19894,36
19898,29
19926,21
19927,1
19928,16
19930,1
19937,43
19938,51
19944,8
19957,29
19965,15
19976,43
19987,29
19992,36
20014,37
20018,29
20030,22
20035,1
20037,36
20048,41
20049,30
20076,15
20086,64
20092,36
20102,1
20105,13
20106,36
20110,52
20160,36
20163,29
20166,22
20168,36
20171,29
20174,15
20184,15
20205,24
20244,1
20249,8
20253,22
20256,1
20263,8
20280,36
20286,29
20296,22
20315,37
20320,11
20327,36
20328,58
20335,1
20338,1
20339,29
20366,29
20386,43
20389,12
20394,57
20398,8
20402,39
20403,22
20418,36
20419,57
20430,36
20434,29
20450,18
20452,15
20455,29
20475,29
20484,36
20485,36
20486,29
20489,31
20502,29
20505,1
20529,29
20536,29
20543,18
20544,29
20551,43
20568,43
20571,29
20577,15
20587,27
20595,23
20600,29
20606,1
20608,29
20615,29
20648,29
20652,36
20663,36
20664,50
20669,15
20680,36
20694,29
20695,36
20711,36
20712,59
20715,1
20730,29
20737,2
20744,29
20749,50
20761,36
20774,58
20788,29
20793,36
20800,34
20802,29
20826,30
20834,25
20836,1
20844,29
20847,1
20864,1
20874,1
20879,29
20906,27
20908,38
20914,22
20923,50
20931,22
20934,29
20940,29
20956,35
20960,29
20968,36
20980,15
20990,58
21013,22
21019,29
21042,29
21046,29
21049,29
21058,29
21071,15
21107,8
21116,13
21122,32
21127,8
21128,43
21142,24
21158,42
21170,29
21179,29
21182,29
21210,30
21213,43
21253,1
21255,43
21270,64
21288,29
21291,15
21293,22
21296,30
21300,22
21309,8
21324,29
21325,29
21335,43
21341,23
21365,29
21394,36
21412,64
21430,36
21435,61
21444,15
21458,22
21460,29
21467,31
21468,25
21470,29
