acc_id,survival_time
2,64
3,29
18,64
19,29
24,29
28,12
39,32
49,29
50,50
58,64
59,64
65,29
69,29
79,64
86,64
97,64
107,29
126,29
131,48
134,64
137,29
143,22
144,64
145,36
153,36
172,64
185,41
193,29
198,29
209,22
222,1
226,29
229,44
236,43
245,29
249,57
252,51
273,29
277,64
283,36
287,29
289,29
292,29
293,43
298,29
299,29
306,29
310,15
311,48
337,22
340,29
344,50
346,29
348,22
362,8
364,29
380,29
390,43
391,29
403,29
405,8
416,64
430,29
438,64
446,22
447,32
464,29
466,29
469,29
472,25
476,29
479,36
492,64
509,29
510,50
513,22
514,29
517,50
527,29
529,32
535,29
551,29
564,29
574,64
583,29
596,22
600,22
601,29
603,29
604,27
605,29
625,36
633,29
654,22
656,29
660,36
665,64
667,22
672,8
678,51
704,22
707,52
712,18
713,29
737,29
739,43
743,36
755,29
773,43
780,22
795,29
796,43
800,29
802,29
803,29
804,53
805,29
812,43
816,36
819,29
824,36
827,29
844,64
856,29
859,64
866,64
869,29
871,29
877,29
905,28
910,29
915,29
925,29
929,64
935,29
943,29
949,29
958,29
960,50
962,29
982,29
993,23
994,29
1003,29
1004,64
1014,36
1018,22
1020,22
1027,31
1033,29
1040,29
1059,9
1065,52
1068,22
1072,29
1092,29
1109,29
1112,29
1114,36
1119,31
1124,30
1134,29
1136,29
1138,31
1140,29
1158,43
1160,29
1175,29
1181,29
1182,29
1184,22
1195,12
1198,29
1201,22
1205,29
1217,52
1218,64
1226,36
1228,29
1234,29
1237,29
1240,29
1247,50
1251,64
1261,29
1263,25
1267,53
1271,64
1273,29
1276,29
1280,29
1291,15
1312,36
1319,14
1333,36
1353,43
1359,29
1362,29
1366,9
1376,29
1378,29
1379,8
1380,64
1381,29
1383,64
1386,16
1393,29
1407,29
1408,29
1420,29
1423,64
1424,29
1427,22
1443,32
1447,36
1452,29
1453,29
1457,64
1458,29
1461,64
1475,64
1477,25
1503,15
1511,64
1516,9
1519,64
1525,29
1533,8
1536,29
1574,50
1577,64
1581,22
1583,43
1592,64
1597,36
1599,9
1623,50
1627,22
1628,64
1630,64
1646,57
1647,36
1660,29
1667,29
1669,36
1678,29
1686,51
1688,22
1696,29
1698,29
1701,29
1708,36
1713,44
1720,22
1732,64
1740,29
1742,22
1748,29
1749,50
1754,29
1762,29
1777,29
1779,29
1789,29
1791,31
1799,36
1805,50
1807,29
1809,29
1814,29
1818,29
1820,64
1822,29
1824,64
1832,29
1833,51
1834,64
1838,64
1842,29
1846,29
1847,29
1864,22
1890,50
1898,29
1923,29
1925,43
1926,16
1929,29
1934,29
1937,57
1941,29
1942,29
1950,29
1963,29
1964,43
1971,22
1980,29
1983,22
1987,44
2010,64
2020,29
2023,44
2031,64
2034,29
2046,29
2075,36
2078,29
2079,29
2081,64
2084,43
2086,64
2098,29
2103,29
2109,15
2120,36
2122,64
2128,43
2129,29
2133,29
2134,36
2135,22
2136,29
2141,29
2146,36
2152,29
2155,44
2171,29
2172,29
2179,29
2197,29
2209,38
2210,64
2214,37
2218,43
2220,8
2223,48
2224,29
2226,29
2232,29
2238,22
2251,64
2255,22
2256,29
2261,42
2267,64
2286,31
2294,29
2295,29
2302,51
2303,46
2316,29
2322,8
2329,8
2333,29
2341,32
2342,64
2343,64
2352,43
2353,51
2361,28
2365,29
2373,15
2377,29
2389,29
2391,29
2392,16
2394,57
2396,23
2401,30
2403,29
